	46_x1_CHR	46_x1_POS	46_x2_CHR	46_x2_POS	47_x1_CHR	47_x1_POS	47_x2_CHR	47_x2_POS	95_x1_CHR	95_x1_POS	95_x2_CHR	95_x2_POS
37945	3	0	3	21.37	3	3.69	#N/A	#N/A	12	198.92	12	39.68
41908	3	0	#N/A	#N/A	3	144.67	3	6.15	#N/A	#N/A	#N/A	#N/A
122540	3	0	#N/A	#N/A	3	345.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
74256	3	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
3231	3	55.14	3	0	3	144.97	#N/A	#N/A	12	37.54	#N/A	#N/A
215335	6	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6	40.58	#N/A	#N/A
119310	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7	0	#N/A	#N/A
32724	8	10.31	#N/A	#N/A	8	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
26868	#N/A	#N/A	#N/A	#N/A	10	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
100733	8	82.17	#N/A	#N/A	11	0	#N/A	#N/A	11	2.03	#N/A	#N/A
80661	3	44.89	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	0	#N/A	#N/A
96805	3	17.41	#N/A	#N/A	3	7.37	#N/A	#N/A	12	0	#N/A	#N/A
237049	3	43.98	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	0	#N/A	#N/A
65188	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	209.84	12	0
153347	#N/A	#N/A	#N/A	#N/A	3	144.67	#N/A	#N/A	12	0	12	50.69
8028	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	209.54	12	0
99223	11	59.86	#N/A	#N/A	14	0	#N/A	#N/A	14	1.5	#N/A	#N/A
147816	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	14	0	#N/A	#N/A
127284	17	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17	1.53	#N/A	#N/A
191699	18	0	7	79.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
25478	18	0	#N/A	#N/A	7	71	#N/A	#N/A	18	16.37	#N/A	#N/A
86912	#N/A	#N/A	#N/A	#N/A	7	76.96	#N/A	#N/A	18	0	#N/A	#N/A
33374	21	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	21	3.06	#N/A	#N/A
83415	#N/A	#N/A	#N/A	#N/A	23	35.31	23	0	#N/A	#N/A	#N/A	#N/A
144305	28	0.54	28	0.54	#N/A	#N/A	#N/A	#N/A	28	0.54	28	0
153567	29	23.74	#N/A	#N/A	29	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
12577	#N/A	#N/A	#N/A	#N/A	30	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
29594	33	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
71516	#N/A	#N/A	#N/A	#N/A	34	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
23944	3	0.3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
27414	3	0.3	3	54.23	3	345.45	3	274.46	12	37.84	#N/A	#N/A
99612	3	0.3	#N/A	#N/A	3	6.76	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85827	3	0.3	#N/A	#N/A	3	6.76	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
22689	3	141.91	#N/A	#N/A	3	0.3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
264944	#N/A	#N/A	#N/A	#N/A	3	0.3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
93400	8	0.3	#N/A	#N/A	8	10.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
41772	8	8.6	#N/A	#N/A	10	1.71	#N/A	#N/A	10	0.3	#N/A	#N/A
108561	11	11.67	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	11	0.3	#N/A	#N/A
25854	30	11.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	30	0.3	#N/A	#N/A
64428	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5	87.04	28	0.37	5	86.88
78541	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	28	0.37	#N/A	#N/A
250313	28	0.37	28	0.71	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
